	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
194	107.64835	85.784436	69.495043	56.491139	46.19286	40.217997	36.657103	34.520243	33.619417	32.633335	32.43019	30.941264
195	107.64835	85.784436	69.495043	56.491139	46.19286	40.217997	36.657103	34.520243	33.619417	32.633335	32.43019	30.941264
196	107.97729	86.147846	69.840756	56.807431	46.436677	40.41032	36.795454	34.589447	33.670997	32.664582	32.428003	30.934553
197	107.97729	86.147846	69.840756	56.807431	46.436677	40.41032	36.795454	34.589447	33.670997	32.664582	32.428003	30.934553
198	108.744752	86.497322	70.165726	57.09573	46.668324	40.564045	36.912667	34.655529	33.708483	32.687448	32.413769	30.924713
199	108.744752	86.497322	70.165726	57.09573	46.668324	40.564045	36.912667	34.655529	33.708483	32.687448	32.413769	30.924713
200	108.983457	86.839593	70.505808	57.394259	46.892146	40.738427	37.024071	34.736454	33.74633	32.71892	32.404708	30.914866
201	108.983457	86.839593	70.505808	57.394259	46.892146	40.738427	37.024071	34.736454	33.74633	32.71892	32.404708	30.914866
202	109.225729	87.180774	70.839806	57.672073	47.12608	40.894289	37.135435	34.79832	33.781631	32.752194	32.387143	30.913879
203	109.225729	87.180774	70.839806	57.672073	47.12608	40.894289	37.135435	34.79832	33.781631	32.752194	32.387143	30.913879
204	109.504859	87.52453	71.168092	57.981156	47.364618	41.088923	37.258768	34.872228	33.831465	32.792231	32.384361	30.908696
205	109.504859	87.52453	71.168092	57.981156	47.364618	41.088923	37.258768	34.872228	33.831465	32.792231	32.384361	30.908696
206	109.789118	87.856161	71.508184	58.278236	47.599905	41.263184	37.38022	34.953094	33.881254	32.852142	32.400547	30.906145
207	109.789118	87.856161	71.508184	58.278236	47.599905	41.263184	37.38022	34.953094	33.881254	32.852142	32.400547	30.906145
208	110.068864	88.170709	71.820961	58.552515	47.827916	41.423756	37.48775	35.019071	33.906106	32.888466	32.3684	30.896222
209	110.068864	88.170709	71.820961	58.552515	47.827916	41.423756	37.48775	35.019071	33.906106	32.888466	32.3684	30.896222
210	110.342329	88.495169	72.130559	58.842048	48.052235	41.594317	37.610731	35.101738	33.954248	32.94192	32.363242	30.89182
211	110.342329	88.495169	72.130559	58.842048	48.052235	41.594317	37.610731	35.101738	33.954248	32.94192	32.363242	30.89182
212	109.526251	88.824117	72.475555	59.142294	48.283574	41.767188	37.723722	35.180579	34.00953	33.000917	32.365695	30.874867
213	109.526251	88.824117	72.475555	59.142294	48.283574	41.767188	37.723722	35.180579	34.00953	33.000917	32.365695	30.874867
214	109.849192	89.14446	72.792559	59.424647	48.522317	41.953807	37.858338	35.254309	34.053819	33.068139	32.346145	30.877331
215	109.849192	89.14446	72.792559	59.424647	48.522317	41.953807	37.858338	35.254309	34.053819	33.068139	32.346145	30.877331
216	110.166591	89.472639	73.107152	59.723084	48.757915	42.143183	37.995503	35.346826	34.110285	33.147775	32.358265	30.878022
217	110.166591	89.472639	73.107152	59.723084	48.757915	42.143183	37.995503	35.346826	34.110285	33.147775	32.358265	30.878022
218	111.441904	89.794944	73.423576	60.003226	48.991487	42.316584	38.106952	35.416213	34.143013	33.199987	32.350045	30.882329
